id,name,is_closed,review_count,zip_code,rating
2a965ju9ibisyTTZhzJzmQ,Park Slope CrossFit,False,22,11217,5.0
jE-2nDsUz8YBn6QKfJnvcA,Dean CrossFit,False,14,11238,5.0
et9zYMicnXw4amGgX4SbTQ,Work it Out,False,97,07030,4.5
jdi17jD2DTBi_tlXOeF5ug,Intrepid Gym,False,25,07030,5.0
x3H0hXWJFywJqt8gG2r1hw,Brooklyn Barbell Club,False,2,11222,5.0
-uAxF-r3Uyd1yJbWM0QPgQ,Club Fitness,False,239,11106,3.5
r1ySeuL1tF2yVrH3TsIljg,UFC GYM Park Slope,False,31,11215,3.5
8cicyQ8j8YETAeOTcLqXKg,Four Fitness,False,40,07306,5.0
NeTL2s8vZ25z_EuBHHAo7A,CKO Kickboxing Park Slope,False,67,11217,5.0
P617ABixzOjW2QBKVhUJ_Q,Force Fitness Club,False,47,11385,4.0
XcXp5331qdt_QmdkiMRW3w,Mid City Gym,False,176,10036,4.0
NjupJdQnTONbQrcELia5Vw,BK Fitness Club,False,11,11235,4.5
4qgzu9GOW-uIEyTyI6_CuA,Blink Fitness - Coney Island,False,30,11224,3.5
Q-ycrPfs_eSJUJzYxIM24A,Planet Fitness,False,97,11385,2.5
jaSgJPjU6KCJvqGKvqQlQQ,Beyond Movement Fitness,False,79,11101,5.0
USCFcE_o64AnxMCknzuxuw,New York Sports Clubs,False,166,11215,2.0
cd3eETpGa3SppPZ7HgQf2Q,Planet Fitness,False,87,11201,2.0
t19PGiyf9bY_-CYBLF5qoQ,Dodge YMCA,False,102,11201,3.0
_M3SZ1EFj0NOF9gwTuDigA,SLT Park Slope,False,10,11217,4.0
Mlo8UphMkoy9XMWHVgZsgA,Mercedes Club,False,152,10019,4.0
bYdxHmnyNJun2LQAvVsF9Q,F45 Training Boerum Hill,False,4,11201,5.0
3jPUj7pckbrl1X0YA8EUDQ,F45 Training Lower East Side,False,14,10002,5.0
HzmF-YUV423q8SSy6ld2Mg,Lifestyle Performance,False,3,11209,5.0
NE6mkwjJ5BG1UXCdEutCOQ,Greenpoint Athletics,False,24,11222,5.0
OnP7Oj26mp3KQXfjRhxhbg,Club Metro USA,False,139,07310,4.0
