id,name,is_closed,review_count,zip_code,rating,price
8y8_xwiaBtCVYA4Jjx-5AQ,Pokébāb,False,170,11211,4.5,$$
fy6GKGvQSRk-c_qLTvmJMw,Sakura,False,47,11229,3.5,$$
61HfCnnk6-SlvAuutOFntQ,Mitoushi Sushi,False,177,11201,3.5,$$
hh0ae47ojPqq3USCRLmAjg,Tomoe Sushi,False,975,10012,4.0,$$$
48aOA2rflIt8d2zCSuNG2w,Tengu Sushi & Noodle House,False,199,11219,3.5,$$
Y_FCEXN-Jk6fArRoDf-9pg,Pokeworks,False,66,11215,4.5,$$
gSkAfUFw_iM2CX2FqC6TwA,Sushi Time,False,524,11375,4.5,$$
1V7TLHWs8FO7iHrRUBgNBA,Sachiko,False,41,11235,3.0,$$
7Q68kpPS6okcC8Kkw7g42A,Sushi Lab Rooftop NYC,False,134,10036,4.0,
XD9XiCUvbvCt7laocvAadw,Hana Asian Bistro,False,211,11417,4.0,$$
qEe7nIhPfEL6L0-VYhWRrA,Raku,False,433,10012,4.5,$$
YvRTy-6_akPsz25BSSuC_w,Sushi Teru,False,36,10014,5.0,
XZswR1A0FMc3LZ-TmB8OYg,Tenda Asian Fusion,False,187,11235,3.5,$$
VKumFZfT7f_FVFWjbPBAhA,Hagane,False,142,11414,3.5,$$
tEKxAitFfYl4uYexZtiNNw,Mitoushi Sushi Asian Fusion,False,70,11223,3.5,$$
BLr-qc6mLC4AMUQaN1Y5ow,iRestaurant,False,10,11220,4.5,
VVlHJ6_sJbRAodV5lCzBnA,Kanoyama,False,663,10003,4.0,$$$
odYZoWQ_2qlIzDcdKehPjw,Ichi Sushi,False,96,11214,3.5,$$
ocnHpILS80DHL--34L8xpw,Sushi Noz,False,117,10075,4.5,$$$$
00mykkev3tKCjTsKV60yOA,Sushi of Gari 46,False,683,10036,4.0,$$$$
HZWHBfeuP4Fb6y8b8uqnbA,Sushi Yasaka,False,1779,10023,4.0,$$
KfFXfxN6qzk_dTcQjsK-OQ,Fukuyama Sushi & Ramen,False,47,11211,3.5,$$
4toUVA7fXIkuSU18s6G-dg,Kenko Sushi,False,725,07035,4.5,$$
wCb9Ss2390V3OyYeuxWs-g,Sushi By Bae,False,25,10003,4.5,
pNe8ZCkGTe4cXfKdOF7kYQ,Ise Restaurant,False,468,10003,4.5,$$
QqULonsHw9vcXp30eVJ-nw,Pokeworks,False,19,11211,4.5,
kkVutuFSHhCd2Xtm_0ia2A,Sushi Kai,False,46,10003,4.5,
k4QfaFoqtpEZ1LZylJZqww,JJ's Fusion,False,449,11103,4.0,$$
ZfuZ2byArGq-5j8zX8Afeg,Zest Sushi,False,852,10002,4.0,$$
G_C-murI79nWDtR10h14XA,Frenasia,False,241,11414,3.5,$$
e96uZ0XXMwO8l7vfxH9jDQ,Flaming Grill & Modern Buffet,False,125,11235,4.0,$$
eS9mTLlWwu_Ap2ROMQWPxg,Chuko,False,1069,11238,4.0,$$
NjNTbqiiSmGknApAoo09Mg,Ikura Sushi,False,73,11211,3.5,$$
1Ft_bmmz2cZaelleYZ0t6A,Sushi Avenue X Incorporated,False,15,11223,3.5,$
V0iszuSRO9V-uZ8QIzuLBA,Kasumi Sushi & BBQ,False,66,11214,3.5,$$
Dv28TvKBh_8i6W02uAaMKw,Samurai Papa BS,False,162,11216,4.0,$$
rN347NNwQ0hDSlbedzI9BQ,Kai Sushi Asian Fusion,False,245,10461,4.0,$$
lIix5qMI4q5bfCTO4wxkgA,Pink Nori,False,426,11103,4.0,$$
m6sYBuozGY1JhnHlBf1Bzg,BondST,False,989,10012,4.0,$$$
U7gqQHSRFNYCad3qGLj3yQ,Umami Sushi,False,143,10011,4.5,$$
6gcGQJ20q0J-ODZ6srB3Ow,Bai Sushi,False,233,11103,4.0,$$
diz6_4TVSP6EdWEZCZ0Acg,Kaoru,False,372,10017,4.5,$$
Z7gHAR1j_hjdxoWO7kYgeQ,Okinawa Sushi & Grill,False,362,07030,4.0,$$
XW3hRkVoOqNu2xRBienBNw,A Win Xin Kitchen,False,22,11207,3.0,$
AVuDEai-NoQnsnPgcFmI7w,Suki Sushi,False,66,11209,3.5,$$
JPEIN-ZFo0-6X06nz6cfYA,Sushi Daizen,False,116,11101,4.5,$$$$
3tMd73OMO8ugfG89kBO-wA,Sushi Fella,False,8,11372,5.0,
nZdo3ihbeX0l9eLBFS-nWg,DOMODOMO Jersey City,False,334,07302,4.5,
6rIe6mEsHR7UK9NqKdLc7Q,Sushi Market,False,11,11362,5.0,
4s_PhObBStJL6EYVtIAsrQ,HK Tea and Sushi,False,478,11214,3.0,$
MWx4HB9p7pCzse9CInLuDw,Sushi Seki,False,503,10065,4.0,$$$
AomqiQxf3_XQM6qXa4rpUQ,Ninja Japan Teriyaki and Sushi,False,30,11421,4.0,$
ubW3Owpl9HK_xeWjtA0zFA,Kashi Japanese - Rockville Centre,False,480,11570,4.0,$$
2x9LHvCacUDC9eH6-gTW_g,Oishi Sushi,False,12,07604,4.5,
IS94JDTcq_WedBcj6P4qpQ,Sushi on Jones,False,160,10014,4.0,$$$
D6ZEcG1FCZ18nekMWrhgMg,Wokuni,False,243,10016,4.0,$$$
61JIVs4L3wmP1j4vJar1Tg,Saku,False,234,07030,4.5,$$
s9Psk3TwlapN7CEwow93Gw,Sisters Sushi House,False,6,11232,4.5,
7EaiwMVaNdQibSs0yYkE5Q,Sushi Yasuda,False,2128,10017,4.0,$$$
VWlidaImhVzgyVQRbhXsew,Fugu Sushi,False,157,11204,3.5,$$
ixBe6WMG0Fb7O2DpeBjY7A,Sumo Sushi And Hibachi,False,10,10707,4.5,
X6ZqenOeXltJxcEc50U__w,Fuku Japanese Sushi,False,167,07730,4.0,$$
rwaJOocM9h1iGJeNuy_LvA,Sushi King,False,16,11230,3.0,$
fqr2YzqzG7q1ZsuP2klxww,LUNA  Asian Bistro & Lounge,False,315,11103,4.0,$$
yj4culC4vfNKWXdj5ZxJ4Q,Kosaka,False,162,10011,4.5,$$$$
JdNT5inXTz9xDmZMZ460hw,Wakamatsu 2,False,33,11418,4.0,
-8V4jeYTDSVOTKZFFLsGjQ,Himawari,False,155,11561,4.0,$$
fDeC90b2ZqPQClL62jOUmw,Omakase Room by Mitsu,False,131,10014,4.0,$$$$
9AUVb5HNQl2117Nkl7sP-Q,Takahachi Tribeca Restaurant,False,234,10013,4.0,$$$
_Dt5ud0hdcIfDLmCg39BBw,Osaka Japanese Restaurant,False,57,11229,3.5,$$
pqqhHTz_ZpApsaWGa_zMTA,Douska,False,95,10002,4.5,
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,False,2344,10001,4.0,$$
SqUIFSqY1PWKWY_hfgJ0MQ,Maguro,False,402,10016,3.5,$$
CYfO97BoPiqz3KRbJ8jbeg,Katsuno,False,182,11375,4.0,$$$
w7p3TTQaTG3jFFYWHrNnUg,Union Sushi,False,140,11354,4.5,$$
M9NNvpKlOWLxJbSPDTe0Lg,Sushi by Bou Flatiron,False,267,10011,4.5,$$$
I66F8wR77s4v4pX4OUHXEw,Jungo Sushi,False,56,11104,3.5,$
BiFBVQwkCIurPP-ytstGwQ,Shima Sushi,False,58,10022,4.5,
W0T1M0jh4On28hpXM-aFyA,Sakura Japanese Restaurant,False,30,11694,3.5,$$
tEarOYdR8AZOLz6ofb1PfQ,Kido Sushi,False,93,11373,3.0,$$
GlZKE1IrwfezpV_ZCvQWZA,Sushi House 21,False,136,07105,4.0,$$
xwa4aG6hmSSA3FSF9KM87A,China Tokyo,False,69,11234,3.5,$$
33-QPyIiKzQmToFZ2sL6tQ,Ginza Japanese Restaurant,False,126,11229,3.5,$$
C5tqSSgVPfgtsJn3QnvDiQ,Hibino,False,209,11101,4.0,$$
LNwaPEFd9gHu69lFtgYQOw,Osaka,False,126,11231,3.5,$$
O73yeXgNF7ReLuY6EsOa1w,Sushi & Co,False,54,10038,4.5,$$
SNTBdiEi55Zvt3qa4AAEJg,Sakana Sushi & Hibachi Steakhouse,False,24,10304,4.5,$$
jR09vZmJnwKPw4DyMxgwnw,Sushi on Jones,False,450,10012,4.0,$$$
ZJz9XNnqb3grVU9i6go91g,Yumi,False,114,07760,4.0,$$$
VxMT2lqRY9wZOxVaXupltQ,Okozushi By Megumi,False,32,11211,4.0,
SBQ0iuFG15rscuArUYDlTg,Bondi Sushi,False,189,10001,4.0,$$
hUf1EpnxbxFU4gf2nL7H-Q,Raku it's Japanese,False,81,10022,4.5,$$
3BYgbjo8MtaIyLZMdTxrOQ,Geisha Sushi,False,396,10031,4.0,$$
nJh1ioLcN6XBQEstR6x9yw,Dai Hachi Sushi,False,174,11101,4.5,$$
Utp7letJ4wutRJ2zUdvOUw,Sushi Akio,False,142,11375,3.5,$$
EVZeqLPpfXrygmgamjD5_w,Takeshi,False,105,10013,4.5,$$$$
xVMaQ96ldDgnhXYurMvDyQ,Wiki Wiki,False,20,11201,4.5,
72ldgXvlHB9xzyLsgMGCQA,Go Sushi,False,25,10002,4.5,
SP_0OgteSE54tYYqskHAAQ,Kaiseki Japanese Cuisine,False,113,11580,4.0,$$
LOFl1w5bXrAdDRAQ-vi3_A,Koyo,False,38,11103,4.5,$$$$
K84FS4X-Hj2Xt_uUCjwNIA,Kissaki Sushi,False,34,10023,4.5,
jQqB3AjwzGSnM3lA_mOWqw,Yori Japanese Cuisine,False,48,11572,4.5,$$
quFTxluPGroSkblIFwtwBQ,Kyoto Sushi II,False,164,07083,4.0,$$
QXMekOdnaMq-mMJov2chvQ,Sush 1,False,25,10011,4.5,
zuD-iB7hV_dnf_JzBk_DCQ,Juku,False,130,10013,4.0,$$$
-tvQmvtWIYOa1_oq1EzbXg,Bayard Sushi,False,41,10013,4.0,
hY80ALWhA_i1yqMA0L3ruA,Mojo Omakase,False,38,10011,4.5,$$$$
6Gra4M9dOXcjYzi611KwKg,A Sushi,False,139,11375,4.0,$$
Ju1Tu3Dl1qVmqEuD4Nyo7g,Koto Sushi,False,65,11231,3.5,$$
NGDLKVh3x5Hch24XWb6M9w,Sushi Nonaka,False,72,10024,5.0,
